name,Gal11_ddmsn,Msn2_dgal11
TFC3,945.2296952813483,116.91210109218109
VPS8,133.81935259065992,762.2848819724983
EFB1,6463.4747301288735,3029.3966574175834
YAL004W,0.0,0.0
SSA1,6463.4747301288735,3029.3966574175834
ERP2,264.9623181295066,371.34064749623036
FUN14,0.0,3919.0735804325145
SPO7,0.0,291.94280063099126
MDM10,0.0,291.94280063099126
SWC3,273.55991547294195,372.98445312710487
CYS3,301.0935433289848,1236.0585427930498
DEP1,182.91284289019194,535.5734164752416
SYN8,182.91284289019194,535.5734164752416
NTG1,0.0,494.81551532343144
TPD3,181.8368849908379,629.1210998713647
PSK1,878.9891157489717,1233.0728945549947
LDS1,0.0,0.0
FUN30,0.0,379.4873867491428
ATS1,0.0,379.4873867491428
CCR4,2861.872136964406,1005.462333696018
FUN26,0.0,562.6227006836439
PMT2,2013.615047412086,654.1944807927176
LTE1,90.38675569720012,212.086847215041
MAK16,0.0,44.53493822041188
DRS2,192.4000235380235,218.0565033903157
SAW1,0.0,223.23428753610014
FRT2,295.3401635201507,2994.8008118831476
MYO4,295.3401635201507,2994.8008118831476
SNC1,166.19500241098086,1332.1295512690556
GIP4,166.19500241098086,1332.1295512690556
PRP45,181.8368849908379,403.0784168291032
POP5,2718.7436045194027,476.2334134363839
FUN19,2718.7436045194027,476.2334134363839
FUN12,0.0,0.0
RBG1,0.0,277.2443483444939
YAL037W,0.0,0.0
CDC19,10112.728475276168,1673.3844998216134
CYC3,1126.0898520504031,2061.2733563946103
CLN3,2791.035131273857,6930.868840719978
CDC24,760.1377979125191,522.1510822004634
ERV46,139.24446147947046,337.80329139156385
PTA1,139.24446147947046,337.80329139156385
GCV3,313.3000383288085,1575.9528157897478
YAL045C,0.0,0.0
BOL3,0.0,1011.3038234499652
SPC72,0.0,434.5511175372324
GEM1,214.66854478085028,143.14872796994177
AIM2,0.0,211.9629409754317
OAF1,218.71889468237578,1020.6535473955911
FLC2,2407.173007708762,4560.7731928024095
ACS1,2407.173007708762,4560.7731928024095
PEX22,1753.9071514621608,585.8981874301174
GPB2,1261.725324426222,1281.2124322704628
CNE1,0.0,128.67383991180017
ECM1,128.80112686851015,695.8994517451484
BDH1,894.8288814022811,5994.3795061656165
BDH2,269.58375391083524,10219.494203422544
GDH3,154.5613522422122,1002.6582662215227
FLO9,0.0,0.0
YAL064W,0.0,0.0
YAL065C,0.0,0.0
YAL066W,0.0,0.0
SEO1,88.32077270983554,998.7972649161494
PAU8,0.0,0.0
YAL069W,0.0,0.0
NUP60,22.080193177458884,75.32973266538136
SWD1,0.0,208.1996510008698
RFA1,81.3480801274801,359.8046550656047
SEN34,81.3480801274801,359.8046550656047
YAR009C,0.0,0.0
YAR010C,0.0,0.0
BUD14,241.5021128784565,769.0233082628229
ADE1,241.5021128784565,769.0233082628229
KIN3,103.96503514050148,183.806176487908
CDC15,110.40096588729445,252.86141526471178
PAU7,0.0,0.0
YAR023C,472.6148476406742,218.5634278816998
UIP3,242.8821249520477,1900.440041528739
YAR028W,240.25080659411225,548.2496214061292
YAR029W,0.0,0.0
YAR030C,0.0,0.0
PRM9,0.0,0.0
MST28,1713.8178451430256,269.1081797774207
YAT1,264.9623181295066,4541.942456669119
SWH1,346.550117135005,981.0687006251552
[],0.0,0.0
YAR047C,0.0,0.0
FLO1,0.0,0.0
YAR053W,0.0,0.0
YAR060C,0.0,0.0
YAR061W,0.0,0.0
YAR062W,0.0,0.0
YAR064W,0.0,0.0
YAR066W,0.0,0.0
YAR068W,0.0,0.0
YAR069C,0.0,0.0
YAR070C,0.0,0.0
PHO11,0.0,0.0
IMD1,0.0,0.0
YAR075W,0.0,0.0
