strain,log2abs
N_to_H_2,13.984138658636207
N_to_Q_1,13.804009423915103
N_to_Q_2,14.017635628031199
N_to_R_1,11.82522735265193
N_to_R_2,11.093740191683787
N_to_S_1,11.184278173994741
N_to_S_2,11.733383094342724
N_to_T_3,13.25458551400944
N_to_T_4,12.974063496579127
N_to_Y_1,9.32102459429906
N_to_Y_2,10.533155217535052
PG_shift_1,13.69589214248396
PG_shift_2,13.848271082845795
PG_shift_5,13.928129698082008
PG_shift_6,13.843989526132406
P_is_placed_next_to_N_B,13.35014655310641
P_is_placed_next_to_N_D,13.295829281305416
P_to_A_B,14.448550968724083
Q_nextto_N_1,13.86494923869316
Q_nextto_N_2,13.906647367310198
R_nextto_N_4,11.58164477755037
R_nextto_N_6,9.355553522067158
Rep10x3_1,11.19495680744478
Rep10x3_3,10.744909175364727
Rep7x3_1,12.529511224771328
Rep7x3_2,10.339631417705924
Rep7x3_3,11.769820913438416
ST_deletion_B,13.570771905166186
S_nextto_N_1,13.200644310511422
S_nextto_N_2,13.312233458180716
S_shift_2,12.795620846629737
S_to_A_1,13.709668150101338
S_to_A_2,13.763307807357851
Start_3rep1_1,13.009298918625845
Start_3rep1_2,12.716871879186451
Start_3rep1_B,12.716871879186451
T_nextto_N_2,13.166174396924175
T_nextto_N_5,13.69589214248396
T_nextto_N_6,13.848271082845795
Y_nextto_N_1,11.496158888723137
Y_nextto_N_3,10.345472268968852
charged_random_cluster_2_1,13.877290223182523
charged_random_cluster_2_2,13.773835214988713
raax2_B,11.451576719350244
raax4_A,10.43036634421139
randomaa_B,11.368636994035944
rep0_B,12.050644690126502
rep0x2_B,13.051395107801582
rep0x4_A,13.14850573686981
rep1_B,11.893545431913612
rep1x2_B,12.65249818253273
rep1x3_B,12.736704013336778
rep1x4_A,13.258291424813166
rep2x3_B,12.281798059224075
rep3x4_A,12.367762796855208
rep4_B,11.898087852641039
rep4x2_B,12.51480867245715
rep4x3_B,12.774453463817366
rep5_B,11.722272059470763
rep5x2_B,12.372764567277486
rep5x3_B,12.360269220736381
rep5x4_A,13.464430718003989
rep6x3_B,11.989703647322074
rep8_B,11.040145134565947
rep8x2_B,10.609155687870263
rep8x3_B,8.118387163114447
rep8x4_A,10.76424955082138
rep9x3_B,12.389815583660374
Msn2_1,13.496947592893832
Msn2_10,13.386564958512688
Msn2_11,13.570442963862183
Msn2_12,13.574175150377824
Msn2_13,13.506178206312871
Msn2_135_1,13.300052302401598
Msn2_135_2,13.169159671226984
Msn2_14,13.485046904250376
Msn2_15,13.423167728089616
Msn2_150_350_1,13.184986483387966
Msn2_150_350_2,13.15069774561145
Msn2_150_450_1,13.424708602659845
Msn2_150_450_2,13.50760237429979
Msn2_150_550_1,13.004894150812595
Msn2_150_550_2,13.347750260164045
Msn2_16,13.77884734908119
Msn2_17,13.846947979721815
Msn2_18,13.374924269503525
Msn2_19,13.404426718125016
Msn2_2,13.523436392637324
Msn2_200_1,13.485706908899523
Msn2_200_2,13.416921530584112
Msn2_20s_1,13.657789192165138
Msn2_250_450_1,13.242288566341701
Msn2_250_450_2,13.140521044632061
Msn2_250_550_1,13.407818870179652
Msn2_250_550_2,13.433557434094057
Msn2_250_642_1,13.588433183566824
Msn2_250_642_2,13.774861371415259
Msn2_320_1,12.830753981181358
Msn2_320_2,12.677918605739178
Msn2_350_550_1,13.380216044145376
Msn2_350_550_2,13.360261418522851
Msn2_370_1,12.516139652679323
Msn2_370_2,12.36818063066389
Msn2_370_3,11.757924576816404
Msn2_370_4,12.423326133095976
Msn2_420_1,12.405684165999405
Msn2_420_2,12.480638989818846
Msn2_450_642_1,13.718804025232929
Msn2_450_642_2,13.5664905685507
Msn2_470_1,12.373723983874417
Msn2_470_2,12.29995194040466
Msn2_520_1,12.214672343457394
Msn2_520_2,12.164981548258396
Msn2_570_1,11.276487682647995
Msn2_570_2,11.381974205731527
Msn2_6,12.963442417872043
Msn2_604_1,11.325434514813859
Msn2_604_2,11.342417980413188
Msn2_7,12.789025410930325
Msn2_8,13.458532444031611
Msn2_9,13.648671409163201
Msn2_Scramble1_1,13.625266787837758
Msn2_Scramble1_2,13.794963143939748
Msn2_Scramble2_1,13.086249292218167
Msn2_Scramble2_2,13.33549113451049
Msn2_Scramble3_1,13.564355537751657
Msn2_Scramble3_2,13.80755204628531
Msn2_ZFonly_dMsn4_1,13.84536564876965
Msn2_ZFonly_dMsn4_2,13.877624385254546
Msn2_Zfonly_1,12.01854217638728
Msn2_Zfonly_2,11.730340817484722
Msn2_Zfonly_3,12.323791307699286
Msn2_Zfonly_4,12.670631301482466
Msn2_Zfonly_5,12.083778668003848
Msn2_Zfonly_6,11.754477797524883
Msn2_cGla_m2_Tail_1,13.263173195362372
Msn2_cGla_m2_Tail_2,13.337173028248136
Msn2_cGla_m4_Tail_1,12.004488985640952
Msn2_cGla_m4_Tail_2,12.517415614344168
Msn2_dGal11_1,13.185269492015346
Msn2_dGal11_2,13.34884219673263
Msn2_dMotA_1,13.389179320616032
Msn2_dMotA_2,13.347452251439266
Msn2_dMotB_2,13.577804475088694
Msn2_dMsn4_1,13.017997638526257
Msn2_dMsn4_2,12.785080821926433
Msn2_dTAD_1,12.840898954803977
Msn2_dTAD_2,12.868596276791305
Msn2_kLac_m_Tail_2,13.221869641912804
Msn2_lWal_m_Tail_1,12.74239748594714
Msn2_lWal_m_Tail_2,13.353253549489688
Msn2_sBay_m2_Tail_1,12.700390761453866
Msn2_sBay_m2_Tail_2,12.753483306229493
Msn2_sBay_m4_Tail_1,13.405016228082244
Msn2_sBay_m4_Tail_2,13.388296621973256
Msn2_sCas_m2_Tail_1,13.782998850864397
Msn2_sCas_m2_Tail_2,13.797212709944164
Msn2_sCas_m4_Tail_1,13.358233708998105
Msn2_sCas_m4_Tail_2,13.309622021799091
Msn2_sCerm4T_1,13.19251085627583
Msn2_sCerm4T_2,13.156215520165528
Msn2_sKlu_m_Tail_1,13.343411696122253
Msn2_sKlu_m_Tail_2,13.343785515186907
Msn2_sKud_m2_Tail_1,13.541624127000551
Msn2_sKud_m2_Tail_2,13.37104934298268
Msn2_sKud_m4_Tail_1,13.363744759665028
Msn2_sKud_m4_Tail_2,13.259979417909934
Msn2_sMik_m2_Tail_1,13.541284617360013
Msn2_sMik_m2_Tail_2,13.598910677219626
Msn2_Scramble10_1,10.759978046289923
Msn2_Scramble10_2,10.922301856925946
Msn2_Scramble30_1,8.718225657640266
Msn2_Scramble30_2,8.538090537667824
Msn2_delMsn4_d450_642_2F,13.960380249305764
Msn2_delMsn4_dTAD_2,12.891506990224004
Msn2_delMsn4_d370_1,12.648915583118603
Msn2_delMsn4_d520_2,12.747506054990513
Msn2_delMsn4_d570_1,12.147164944298087
Msn2_delMsn4_d250_450_2F,13.471604811944044
Msn2_delMsn4_d320_1,12.917429209885311
Msn2_delMsn4_d420_1,12.773824061836697
Msn2_delMsn4_d370_2,12.685220320506357
Msn2_delMsn4_d200_1,13.166543605456074
Msn2_delMsn4_d350_550_1F,13.549649463068361
Msn2_delMsn4_dTAD_1,12.831671466857141
Msn2_delMsn4_d420_2,12.86080521913615
Msn2_delMsn4_d604_1,12.15590740096607
Msn2_delMsn4_d450_642_1F,13.931704431240137
Msn2_delMsn4_d135_2,13.424780618395054
Msn2_delMsn4_d250_450_1F,13.550225090947823
Msn2_delMsn4_d150_350_1F,13.50580279149617
Msn2_delMsn4_d470_1,12.82003328715586
Msn2_delMsn4_d320_2,12.908478091539433
Msn2_delMsn4_d150_350_2F,13.590942837436936
Msn2_delMsn4_d470_2,12.779364673235136
Msn2_delMsn4_d570_2,12.329818217742615
Msn2_delMsn4_dMotA_1,13.298011275621299
Msn2_delMsn4_d135_1,13.313296479304745
Msn2_delMsn4_d520_1,12.803323488924418
Msn2_delMsn4_d200_2,13.262418611697244
Msn2_delMsn4_dMotA_2,13.629622804060613
Msn2_delMsn4_d350_550_2F,13.449467298453897
